Q1_Humanity,Q2_Transparency,Q3_Capability,Q4_Reliabiltiy ,Q5_OpenEnded,PageName,Number_ProductLines,Age of Account (Month),Monthly Spend,Is_Seller?,Is_Subscriber?,Direct_Buyer?
6,5,6,5,"While 99% of the time TCGplayer is honest and upright with me, there is that 10% where trying to get a refund from a seller or contact someone for help is like pulling teeth",Product,3,80,172.21,No,No,yes
7,7,7,7,Every order I have recievebdwas early and verified correct and in promised condition! ,Search,1,4,38.38,Yes,No,no
5,1,3,1,"I ordered cards for tcg direct and then sold them back and you said it did not meet your grading guidelines yet your said it was near mint and your fees are to high!
  ",HomePage,1,26,23.96,No,No,yes
4,6,6,6,"I've only bought from them a few times but I haven't had any issues when doing so!
",Search,1,1,36.75,No,No,no
6,5,5,4,when it comes to purchases I have had problems locating my orders and recently one was never shipped. ,Product,2,1,2298.72,Yes,No,no
7,6,7,7,"My only 'ick' with the site would be the optimization option for newer buyers when checking out. I recently purchased some mtg cards, and when I was about to check out, I decided to use the optimizing option. Naturally, I wanted the cheapest option, so I picked one of the cheaper options. It wasn't until I double-checked my order that I realized that a big portion of the cards I wanted to purchase had changed from the cool secret lair art back to the original. I appreciate that you guys try and adjust to our needs, but maybe a small warning/pop-up that lets people know turning that specific filter on will change the art on some of the cards. ",Search,1,40,310.24,No,Yes,yes
7,7,7,7,"Anytime a seller has let me down, TCG has never failed to make it right as quickly as possible. Truly top of the line customer service.",Search,1,23,12,No,No,yes
7,7,7,7,I have had only good experiences with ordering from TCG! Thank you,Search,4,52,328.25,Yes,Yes,yes
6,4,3,2,I haven’t been getting my card’s lately ,Search,2,37,79.4,No,No,yes
7,7,7,7,"I couldn't be happier with this site/platform. It's easy to use and I love the free-market pricing. I use it to buy and sell cards, and as a newer user, it was extremely easy to get the hang of it.",HomePage,3,29,69.8,No,No,yes
7,7,7,7,Love this site. Please keep taking my money! Thumbs up emoji,Product,1,1,128.61,No,No,no
4,5,5,5,Quick response time,HomePage,5,66,198.26,No,No,yes
7,7,7,7,"It's been a good website to me, one of my best options for ordering cards so I have no complaints ",Product,2,4,98.89,No,No,no
5,6,6,6,I just agree for the most part,Search,1,1,15.93,Yes,No,yes
7,4,7,7,Have nothing but good experiences and great customer service,Product,2,29,62.91,No,No,yes
4,6,6,6,I have never had a situation where kindness and empathy were a part of a transaction,Search,4,69,92.04,No,No,yes
2,2,3,2,TCGPlayer undermines purchasing confidence by hiding factual feedback and allowing sellers to continue with inferior customer service.,Search,1,1,38.34,No,No,no
5,4,6,6,"I don’t really want to explain, BUT, a small suggestion would be to implement an easier way to search for tokens for Magic the Gathering. Example: searching “unicorn” doesn’t really pull up the token as even a selectable choice last I remember.",Product,1,1,142.28,No,No,yes
7,6,6,6,They do good,Product,1,7,12.96,No,No,yes
6,3,3,4,there are times I use tcg player direct and I get cards like 1-2 months later.,HomePage,2,29,106.26,No,No,yes
6,5,6,6,"I don't feel terribly strongly, but I've rarely had bad experiences with the site, and any bad experience has been due to a vendor rather than the site itself.",HomePage,2,2,270.08,No,No,no
7,7,7,7,I've never had a bad experience on TCGplayer and every seller I've bought products from has given me excellent service with every purchase and customer concern,Search,7,74,93.63,No,No,yes
6,6,6,6,"As a buyer and seller on this platform, I am very satisfied with how TCG Player operates",Search,6,45,26.81,No,No,no
1,2,2,1,I've always had a delightful experience when shopping with TCGPLAYER.,Search,4,97,12.68,No,No,no
6,6,3,3,"I love your website and it is the best website for buying and selling collectables. However, my negative responses are due in large part to the tcg direct service. I find myself trying to purchase cards from individual sellers more and more because I consistently get my cards shipped faster and they arrive with higher quality.  ",Search,4,87,45.18,No,No,yes
4,2,4,6,"Tcgplayer is only a place. Individual sellers are what matters. Some are good, most are bad. ",Search,5,44,641.63,No,No,yes
7,7,7,7,excellent place to shop I love it,Infinite,2,21,171.97,Yes,No,yes
7,7,7,7,"Reasonable, and Reliable.  ",Product,5,47,83.99,No,Yes,yes
4,6,4,4,Condition guidelines could be more accurate. I've ordered dozens of Near mint foils and had to return them or ask for replacements because they are in terrible condition.,HomePage,2,31,55.55,No,No,yes
7,7,6,7,TGC Player is great!,Product,1,20,5.02,No,No,yes
7,7,7,7,I have have nothing but amazing customer service from TCG Player if there is an issue with my delivery.,Search,3,24,113.81,No,No,yes
1,3,5,4,Union busting does not align with a well intentioned company,Product,1,19,11.58,No,No,yes
4,4,6,6,"TCGplayer is a pretty good marketplace for product, but I haven't seen any personal touches to that. Which is fine.",Search,2,11,28.06,No,No,no
5,6,6,5,"Tcgplayer is a great website 

",Product,3,87,40.94,Yes,No,yes
7,7,7,7,Keep up the great work!!!,Search,1,22,185.84,No,No,yes
7,7,7,7,"I would recommend not connecting with vendors named ""Dabber"" or any other reference to marijuana bc their level of accuracy and efficiency in sorting and shipping cards becomes questionable. 
Otherwise, thank you for your great service.",Product,4,32,2.71,No,No,no
6,6,7,7,You’ve never set me with any issues what so ever,Search,1,7,25.12,Yes,No,yes
6,6,6,6,It’s an awesome website,Product,6,42,937.86,Yes,Yes,yes
4,4,6,6,"I have had no interaction that would show empathy, and don’t see any specific info, but just a quick suggestion would be to make it so I can have a preset for all card searches for filters like only show listing with four copies. ",Product,1,6,29.67,No,No,yes
4,5,5,5,"Not sure how a company would show empathy so that one is just a strange question.  The seller fees are the primary area that I think could use work.  In particular the direct fees that don't take into account what was in the buyer's cart that wasn't from you, but does reduce the cost of tcgplayer shipping the items.  The break on the fees to the seller only happens if the buyer picks multiple items from your tcg direct store, but combining items from a seller to save on shipping is not an incentive on the buyer end with direct.",Infinite,1,65,30.45,No,No,yes
6,6,6,6,"I haven't ordered much from these guys, but they all seem nice!",HomePage,1,1,55.49,No,No,yes
7,5,7,7,I have been using tcgplayer for many years. It takes honesty is the best policy to the next level. It doesn’t automatically make the buyer or seller right. But you must be honest with everything to sort everything out properly and the tcgplayer crew has always been great at that,Search,3,55,85.76,No,No,yes
7,4,7,7,"""TCGplayer openly shares information, motives, and choices in straightforward and plain language."" Please add a function under ""Sales Summary Report"" that allows sellers to see the breakdown of sales PER SET. This would be EXTREMELY helpful. Thank you!",Product,1,8,30.87,No,No,no
4,4,3,3,Tcgplayer is too buyer friendly and forgets that sellers are also its customers.  There should be MORE seller protection that is easily accessible and empathetic to profit. ,Search,3,66,140.69,Yes,No,yes
6,5,4,5,"Hard to call it quality service when everyone chargers 20$ for shipping when it is just done by letter mail. Seems like a rip, would be nice if there was an option to be charged more for tracked shipping vs just paying 20 for letter mail when I know it isnt that much to ship it to me",Search,1,15,15.75,Yes,No,no
3,1,5,3,You guys need to work on some stuff ,Product,3,95,46.36,No,No,yes
4,2,5,5,relax on the woke stuff,HomePage,2,21,215.29,Yes,No,yes
4,5,7,7,"TCG Player has been my source for magic singles for a very long time, and they are easily the best service for competitive prices and easy purchases. ",Product,1,2,39.9,No,No,yes
1,1,6,1,Stop union busting ,HomePage,4,19,138.75,No,No,yes
7,7,7,7,"I LOVE TCG, I JUST WISH THAT THEY MIGHT MAKE IT A REQUIREMENT TO SHOW PICTURES BECAUSE SOME PEOPLES LP/NM ARE BAISED OFF THEIR JUDGMENTS AND OPNIONS CAN VARY.",Search,1,40,13.39,No,No,yes
4,4,6,6,Tcgplayer is a a business and I do not feel a business can demonstrate emotions listed above and is therefore not applicable to be described that why. I do not believe I have ever seen anything about the motives of tcgplayer but I have not looked either. I would guess making a profit and keeping people coming back would be the top two. Also thank you guys for providing the site and services!,Search,1,1,37.72,No,No,no
7,7,5,3,"The Shipping process would be a lot better on sellers if it reflected that of eBay. I won't get any orders if my shipping price is $1.99 but if its $0.99 then I'll get a $4 order with 31 cards in it that I have to pay $5 to ship. Then if I raise the price of the cards to combat that problem, then the cards look way overpriced and won't sell or be seen. There has to be a better way to do this to where if a customer purchases a certain number of cards, we can control that shipping price to accommodate that. For example, if the system sees that there are 10 cards from the same shop in someone's cart, the shipping price could automatically be $4.99 instead of $0.99 so we're not losing money on both ends trying to sell cards. ",HomePage,1,96,5.52,No,No,yes
6,6,7,7,I've received all my items I've bought off of TCGPlayer.,Product,2,1,126.33,No,No,yes
3,6,2,6,"Customer service response times need to be very much improved as tickets go as long as 4 days with zero response for high severity issues.

",Search,3,28,8.48,No,No,yes
7,6,6,5,I have yet to have an order delivered due to stocking issues. But I have faith based on reviews and you tubers positive feedback,Infinite,4,45,104.2,No,No,yes
6,4,6,7,Only had some small reasons ,Product,1,1,403.82,Yes,No,yes
7,7,7,7,Tcgplayer is the only site I trust to buy cards off of.,Search,2,66,47.29,No,No,yes
1,5,4,2,"I've had a horrible purchasing experience recently where the product I intended to buy ended up being one that was partially opened but labeled as ""unopened"". I didn't notice this prior to checking out and when I reached out to both the seller so I could return it, they told me that TCGPlayer declined the return. 

When I reached out to TCGPlayer support, they just pointed to the listing title and not the description of the product (which listed items not included in the order). When I complained to the support representative about this and how the item was misleading, they just told me that they hope my future is full of ""good vibes"" and wouldn't let me return the product. To be clear, I fully intended to purchase the full product in it's entirety, I was just upset with receiving a partial product. 

In the end, I re-bought the full product on Amazon without issue, and am now just sitting on the partial product from TCGPlayer's seller still.",Search,1,63,35.04,No,No,yes
1,1,1,1,Never had an issue and always got what I ordered,Product,1,36,3.99,No,No,yes
6,6,5,6,This comes from the perspective of someone who had ordered from tcg player only 3 or 4 times.,Search,2,22,32.05,No,No,yes
6,4,5,6,Hope you have a great day!,Search,1,48,42.28,Yes,No,no
3,6,6,4,"Sometimes some Pokémon cards are underpriced 
But an amazing site to check the overall value on cards which helps trades",Search,1,4,213.74,No,No,no
5,6,5,6,"Overall a well rounded and satisfactory experience. Site does tend to glitch often and the ""optimize cart"" feature is abysmal to say the least. Otherwise, TCGplayer tends to be an optimal choice for card game related services. ",Product,1,4,213.74,No,No,no
7,7,7,7,Love TCGplayer it’s been good to me ,Product,3,23,29.07,No,No,yes
7,7,7,7,I haven't had a problem with tcgplayer its been great for me and I only shop for cards here or if I'm at a card shop when I go see a friend ,Search,4,19,176.58,No,No,no
5,4,7,6,I just use this site to buy cards. I was going to mention though it would be noce to be able to manage my orders in the app. Also i wish it saved login information so i didnt have to login all the time.,HomePage,2,32,113.25,Yes,No,yes
7,6,7,7,I don't always have great experience with sellers but I've always had really good experiences with TCG player staff. I just wish I signed up for a membership sooner...,Product,1,38,56.64,Yes,No,yes
6,4,7,5,"I honestly haven’t seen TCGplayer openly share information, motives, and choices in straightforward and plain language. Thats not to say you all do or don’t just that I haven’t seen it. Im also not constantly ordering cards so its hard for me to complain or compliment at this time",Product,3,16,7.39,No,No,yes
6,6,7,7,I've only ever had good experiences with tcgs. My only problem is the interface of the website using the filters is not as good. I was one of the users that switched with the closing of channelfireball but I find that the way of adding filters to the search and their search function was better. They had an oracle text function ,Product,2,125,157.74,No,No,yes
5,5,5,5,"Great site, let your workers unionize ",OrderComplete,2,2,261.98,Yes,No,yes
7,7,7,7,A simple and easy website to access.,Product,4,59,35.72,No,No,yes
7,7,7,7,I have never had a negative experience with TCG Player.,Search,7,33,440.93,No,Yes,yes
4,4,4,4,can't complete Survey. have never hard of TCGplayer,Product,2,23,14.42,Yes,No,yes
7,7,7,7,is good,HomePage,4,18,123.69,No,No,yes
4,2,3,6,"I don't really feel like TCGPlayer has its own products or services, as it's mainly a marketplace for other sellers. If TCGPlayer wants to establish a brand that is more than just a marketplace, it needs to offer more than that. I can't say that I've ever read or heard anything about the company's vision, motives, values, etc. and the only things I've heard about empathy and treating people fairly was when the company was trying to prevent its workforce from unionizing, which isn't a good look. So if the company wants to establish a brand identity of its own, it needs to work on presenting itself as a good actor and provider of actual products and services of its own, and not a horrible employer trying to prevent its employees from exercising their legally protected right to collective bargaining.",HomePage,3,25,65.52,No,Yes,yes
7,7,7,7,"Very user friendly, great policies.",HomePage,1,103,128.24,No,No,yes
6,5,6,4,"I feel like this is TCG Player"" as a company; versus the merchants. I have little interaction with TCG Player, as a company.",HomePage,1,106,14.84,No,No,yes
1,1,1,1,TCG Player is the best for the gaming community.,Product,1,2,97.69,No,No,yes
6,6,6,6,I’ve only had one issue with an order and tcg handled it promptly. Quality work. ,OrderComplete,3,22,411.8,No,No,yes
5,6,5,3,"There’s been a handful of times my order has never been delivered, but they have always given me a full refund.  The times that they did deliver my product it was fast and in great quality. Overall, tcgplayer is a great resource for people who play any tcg and I will continue to use they’re website for as long as I play a tcg.",HomePage,6,10,401.17,No,No,yes
6,6,7,6,New to your service platform. Absolutely loving my time here. I will continue to use this platform ,Search,3,45,23.22,Yes,No,yes
4,3,5,5,TCG Player as an entity isn't defined by it's individual sellers. ,Product,2,63,38.49,No,No,yes
7,7,7,7,"Never had any issues buying things here, it's most excellent ",HomePage,2,63,38.49,No,No,yes
7,6,3,5,"When it comes to quality, products or experiences, I’ve had sellers take like 3 weeks to a month for my cards to get to me. I remember back then my cards would at max get to me in like 9-10 days, now it feels like shipping is a lot worse. But that could be just the sellers yk, wish there was a policy to mandate shipping faster.",Search,2,1,2363.19,No,No,no
5,5,6,6,don't really have much to say about the first three. I really wish that there was a dark mode. That would improve my experience quite a bit. Plus it looks really cool.,Search,1,25,10.54,No,No,no
1,2,4,3,I and many other people I know are not buying any products from TCGplayer until you let your employees unionize. I have made many tcg player orders and am a happy with the products I’ve received in the past but I would rather get worse product for more expensive rates because you are actively trying to ensure your employees have fewer protections against you.,Product,1,6,149.13,No,No,yes
6,4,6,7,customer support has always been amazing,HomePage,1,4,8.11,No,No,yes
6,6,5,5,I have had two orders that shipped with basic mail get lost. 1 of the 2 refunded me but I haven’t heard from the other yet.,Search,2,105,24.23,No,No,yes
6,5,7,6,"Overall I am very happy with my experience selling cards on TCG Player. However, I was recently disappointed when I sent in an application for the TCG Direct program and was rejected due to Lorcana cards not being part of the program and thus the small space I had worked hard to craved out as an early seller felt disregarded. ",Product,1,12,29.01,No,No,yes
3,4,5,6,"Services are on time for the most part though there has been a significant downgrade in shipping times and care taken when packing TCGplayer direct orders, nothing that has driven me away but its been enough of a problem to have me and friends looking at switching to card kingdom",Product,1,64,38.25,No,No,yes
5,6,6,6,Only thing is some tcgs product pages are not updated as often or as quickly as other tcgs other then that it's great,Product,1,12,35.11,No,No,yes
7,6,6,7,I have had exceptional service from TCG Player and will continue to use them.,OrderComplete,6,138,167.04,Yes,Yes,yes
7,6,6,6,"My experience buying from TCG player has been mostly positive, my only negatives have been with a couple of sellers sending incomplete orders or with the wrong shipping specs (not free shipping upon arrival), but they were really responsive when I raised my hand.",Search,6,138,167.04,Yes,Yes,yes
6,7,7,4,Great website just haven't bought much but what I have is exactly what I expected ,Product,1,28,243.43,No,No,yes
2,2,5,1,I love TCG but when you are talking about the promises and the standpoints of the company it is nothing but defend the shop rather than the customer and epically with the new subscription plans saying it will be worth it and showing no value for non competitive players.  And when I used to sell with TCG there was no emails or updates to help me and customer support was obsoletely trash and could not get the main email switched over. ,Product,3,12,21.67,No,No,yes
4,4,4,7,your website is in desperate need of updates. like different lists for a cart. some background systems change shipping between cart and post. ,Product,2,27,34.68,No,No,yes
5,6,6,6,"I haven't interacted with anyone from tcg in general, though the standards that are expected from tcg's sellers due to their policies reflect their motives and business practices. Had a couple hiccups but overall have had good experiences shopping here.",HomePage,1,1,58.75,No,No,yes
7,7,7,7,"TCGplayer gives deals, provides excellent content, and its vendors are consistently legitimate and easy to work with regardless of issues. I simply don't buy cards anywhere else. Love Cassie's set reviews too!",Infinite,2,56,1.51,Yes,No,yes
7,7,6,7,"You are doing a great job, please keep doing it!!",Infinite,1,31,5.06,No,No,yes
4,4,6,6,"I've never been deceived by the company, but I've never had them treat me like a friend or anything? Weird questions, honestly. They're a hub for game stores to sell online, they do it well, with minimal shady business practices.",Search,5,25,143.54,No,No,no
6,4,6,7,"Overall (apart from a fake seller here or there) I've had an awesome time using the site.  It's made so many card games more accessable, especially when not looking for mint cards.  I've recently felt supported by tcg player, especially when sellers have been shady, and that has been the biggest positive I have.  Not many sites can say they stand by their buyers like that.",Product,2,45,127.39,No,Yes,no
7,7,5,6,"You don't ""create"" products / experiences haha. Your card dealers - offering a card dealing platform to others. 

Keep your sellers in line, keep up with new games - and your company will continue to reign supreme for the next couple generations :) ",Search,1,6,190.65,No,No,yes
7,5,6,6,I think the only thing missing is really a shipping option provided by TCGPlayer for singles (similar to the Ebay system).,Product,5,8,46.78,No,No,no
4,7,6,4,The things that I put as four means I haven't experienced it,Product,1,1,52.92,No,No,yes
6,2,5,4,Good website & service but not being civil with Unions is a really bad look. I hope you hold yourself better with workers and stay consistent at that in the future.,Search,2,13,248.8,No,No,yes
5,4,6,6,"I just come here to purchase cards I need for ptcg, its done it well so far so its pretty good",Infinite,1,17,28.52,Yes,No,yes
4,5,6,5,Those who follow best practices on the marketplace are awesome and often exceed expectations. Sadly often a third or more of the marketplace's inhabitants are lazy or dishonest and it shows in how they operate.,Infinite,6,11,208.79,No,No,yes
6,5,5,5,It's a good product.,Search,3,118,138.47,No,No,yes
3,6,6,4,Asked many times for a card price ticker like old website and nothing happens.,Product,1,1,68.26,No,No,yes
7,6,7,7,"All of my experiences thus far have been easy, as is, and fast",HomePage,3,83,13.01,No,No,yes
5,4,4,5,"Tcgplayer doesn't really provide anything different/better from any other platform. Honestly I expected the subscription to be better than it is. I feel like the cashback percentages either need to be increased across the board, or we need to be offered more bonus bucks incentives. I feel like these offerings are few and far in between and we definitely need more of them. Customers need to feel that their subscription purchase is worth the price, myself included. I currently feel like the subscription isn't worth the price i pay. The service is too barebones, with not much to offer its subscribers. ",Product,1,8,304.3,No,No,yes
6,6,7,6,"I use TCGplayer a lot and the few times that the seller made a mistake and sent me the wrong card, or did not send me anything it was sorted out either by the seller or the wonderful TCGplayer staff.",Product,1,8,304.3,No,No,yes
7,7,7,7,I've had nothing but positive experience with tcg player! I've be exclusively buying from them for about 3 months! ,Product,2,34,11.41,No,No,yes
6,4,4,3,Please fix the app it always says everything  is sold out .,HomePage,2,81,11.49,No,No,yes
1,1,5,6,"Loved this platform. However, been experiencing several ""card wasn't shipped, or suddenly out of stock"" if a price fluctuates. Often will have orders based on a specific card, and end up not getting what I actually wanted from who I ordered from, where I would have opted for a different seller altogether. ",Search,1,8,107.83,No,No,yes
4,4,4,3,Bring back the card price guide ticker tape.,Infinite,3,58,8.41,No,No,yes
4,6,7,6,"I believe this to be the best market place for Yugioh products, the low prices really is what makes it top tier.",OrderComplete,1,143,13.16,No,No,yes
6,5,6,7,I have had many positive customer experiences on tcgplayer. Every issue I have ever had with an order was resolved headache-free,Product,3,78,15.59,No,No,yes
4,7,6,4,"I feel like I cannot fully and accurately give a rating for all things in this survey as I have not purchased anything, and have only used this website to look at prices of things",Product,1,1,91.99,No,No,no
4,3,6,4,I am not aware of the promises TCGplayer as an organization makes. I am aware of the change in management and the worries that come from preference being shown to first-party sellers at the cost of other sellers on the platform. I believe the community as a whole is better served by allowing for diverse sellers so I'm hopeful that TCGplayer will continue to support a diverse ecosystem of sellers.,Infinite,1,11,161.95,No,No,yes
7,7,7,7,From the stuff I've ordered they have all been faster than expected and have not forgotten anything. So far I've enjoyed my orders and my time on this site.,Search,3,51,74.84,No,No,yes
6,4,6,7,"I just use tcgplayer to buy individual magic cards and there hasn’t been any issues yet. The only time I bought a deck through tcgplayer, the package was a little crushed because the package was just one of the plastic ones. However, this could have been a problem with the seller, not tcgplayer. I don’t recall tcgplayer information/motives/choices but then again I wasn’t looking for this information. I haven’t had any issues with deliveries besides the one deck so I don’t have any experience with customer service. Overall, tcgplayer is a reliable place to buy magic cards. I haven’t bought anything outside of magic the gathering.",Search,3,42,3.35,No,No,yes
4,4,5,4,"I don't feel like I know enough about what TCG Player has committed to doing in order to answer.  Maybe it's plastered on the front page, but I mainly navigate here from Scryfall to look at specific cards. ",Product,7,65,57.62,No,No,yes
4,4,7,7,"I've received everything I've ordered from TCG in a timely manor, but haven't had to interact with anyone from TCG beyond that.   ",Product,1,1,306.16,Yes,No,yes
7,2,6,5,"The best way I can put this is that the quality checking is inconsistent. Stores send in copies of cards for the order or to be stored and sold and it is often my observation that the wrong items are sent, they’re damaged beyond the provided description, or not sent at all. While this isn’t exclusive to your services, I do believe that it is an overarching issue. It should also be noted that the customer service experience I have had with TCGPlayer has always been fantastic. The staff in that department have always taken good care of me in these situations. The option to receive store credit for these issues, and the wonderful customer service, are the top reasons for my continued use of this service.",Infinite,2,27,65.66,Yes,Yes,yes
2,4,4,4,give us shipping to latam,HomePage,2,62,22.39,No,No,yes
7,7,7,5,"Low accountability for shippers, ive gotten over 6 cards that took over a month to come in or didn't come at all.",Product,1,19,126.14,Yes,No,yes
6,7,6,6,My responses are based on limited experience ce but to date they have all been positive.,Product,2,36,294.05,No,No,yes
6,6,6,6,My experience with TCGPlayer has been satisfactory thus far and I will continue to use it moving forward ,Search,2,59,119.84,Yes,No,yes
6,6,6,6,"Great page, the maximun tcg references for prices. ",Search,7,145,29.21,Yes,No,yes
4,2,5,6,"2 huge problems everyone is always complaining about
(THESE ARE ABOUT MTG)
#1- When searching for a card, you need to have your search results show every version of the cards( Borderless, Box toppers, World championship deck cards... all need to be searched separately by customer.  Put them together please!
#2- Shopping cart, it is extremely difficult clearing out items one at a time. You need an option to delete multiple items at once. Having to wait for the page to reload after each item removed is hurting your business ",Search,1,4,76.83,Yes,No,no
7,7,7,7,All my experiences with this site have always been very good and positive ,HomePage,1,4,56.2,No,No,yes
7,7,7,7,"Based on how they treated my friend after a banking snaffu when he tried to switch banks on his store, I'm VERY pleased at how TCGplayer treats their vendors and buyers. Despite TCGplayer being owned by Ebay, they do a better job at protecting sellers than Ebay itself.",Product,1,25,273.98,Yes,No,yes
6,6,7,7,"Tcgplayer is the best!
",Infinite,1,3,250.3,No,No,no
7,7,7,7,Have not had a bad experience with TCG Player,HomePage,1,3,250.3,No,No,no
6,6,5,6,I have ordered cards through TCGplayer in the past and there have been a few times when an order was wrong or an error of some kind and TCGplayer helped to make sure it got fixed or refunded me if it couldn't. That meant a lot and has lead to me continuing to use TCGplayer rather than trying other places like Cardmarket and such.,HomePage,2,47,48.45,No,Yes,yes
4,5,5,6,Ok,Infinite,1,9,403.15,No,No,yes
1,1,1,1,Customer service is ass. I've had issues with my account and haven't been able to resolve it. They just close the ticket. ,Search,2,123,75.76,No,No,yes
7,7,7,7,A great company!  My favorite place to shop online.  Especially kind and responsive customer service.,HomePage,6,80,195.35,Yes,No,yes
4,5,6,6,"TCG has been a reliable place to purchase singles for a long time, and I'm glad to have this service available. In recent years it has been challenging to find reliable sellers though, and it would be nice to have more of the sub-par sellers excluded from the site or segregated out in some way. ",Infinite,2,42,19.02,Yes,No,yes
1,1,2,2,TCG is over priced and has way too many scammers and the shipping time and PRICE is BS. I have gone to cardkindom because the cost of doing business has been more cost effective than ordering from tcg due to the excess cost and lack of accountability. I shop at my local game stores instead to avoid the bs.,Product,6,67,225.55,No,No,yes
6,5,5,6,"I like and use TCGplayer a lot, and I've not had much problem getting money back when a seller hasn't gotten me what they said they would. That said, it's happened more than it should that a seller hasn't gotten me what they said they would, and then it takes a very long time to wait to start the process of a claim. There should be a quicker system worked out to address that quicker, and maybe weed out bad actors earlier. Also, there is disagreement in the Pokemon community about what counts as ""damaged"" vs what TCGplayer considers damaged. Most Pokemon collectors seem to think any crease in the card counts as damaged, pretty sure you can have a crease and still only be moderately played on TCGPlayer. More could be done to align expectations, since I've gotten cards I expected to be in better condition than they were. And that TCGPlayer subscription just... doesn't seem like it gets you much of anything. Sounds like a really bad deal, I'd need to get actual cards to consider subscribing. But again: I like TCGplayer, I use TCGplayer, and I intend to continue using it.",Product,1,14,31.3,No,No,yes
7,7,7,7,I am satisfied with my experience with TCGPlayer and I have no complaints.,Product,1,96,2.24,No,No,yes
5,6,6,6,The site does what it needs to do.,Search,1,1,131.03,No,No,yes
1,1,3,1,"TCGPlayer has demonstrated numerous issues in response to its workforce's labor union efforts, of which I am aware and strongly disapprove of.",Infinite,1,8,94,Yes,No,yes
7,6,5,7,"I’ve had lots of issues with items not getting delivered, but at least TCg always steps in on my behalf and makes it right.",HomePage,2,61,22.78,No,No,yes
7,6,7,7,"I have only on one occasion not gotten a card that I ordered, and the seller was very apologetic and pleasant. I was given a refund with no hassle.",Product,1,7,78.26,No,No,no
5,6,6,5,I'm just putting this everywhere I can to try to get some help but I've had two or three untracked packages in a row go missing. I don't know if it's someone along the deliveries or machine error or what else. ,Search,1,114,49.52,Yes,No,yes
7,7,7,7,TCGPLAYER IS THE BEST SITE EVER,Search,4,23,15.47,No,No,yes
5,5,6,5,"TCG is a great place for selling and buying, but there are a lot of other platforms going up now with lesser fee and greater interface. Only bad experience I have is buyers that are given benefit when they claim the products are lost after months of shipping the product which is basically a charge back or a remorse purchase. ",Product,1,1,42.08,No,No,yes
7,7,7,7,Every interaction I've had with TCG has been a good one so far.  Keep up the good work,OrderComplete,1,13,42.21,No,No,yes
6,6,4,4,Easy to communicate with,Product,1,1,21.21,No,No,no
4,4,4,4,Very strange questions that don't feel relatable at all for a web store.,Search,1,17,3.82,Yes,No,no
7,7,7,7,Good website ,Product,1,2,34.8,No,No,yes
6,6,6,6,"Shipping can be slow and vendors have varying definitions of moderate/heavily played and damaged. Some vendors don't know the difference between a reverse holo and an actual holo. Being able to block certain vendors as a customer could be a nice option. Aside from those, everything else is great, (especially selection and shipping fees).",HomePage,10,31,69.05,Yes,No,no
6,6,6,6,Need more days to use the TCG subscription.,HomePage,3,26,1063.17,Yes,Yes,yes
7,7,7,7,It would be good to be able to favorite shops and to have more visibility into the ratings of a shop before purchasing.  I recently got shafted by a shop and it wouldn't have happened if I had been able to see an average rating for the last 30 days.,Product,2,25,143.48,No,Yes,yes
6,6,7,6,"I don't think I have had a lot of interactions with TCGPlayer but I feel I agree mostly with the statements, but I cannot give strongly agree without more interactions. ",Product,4,2,172.09,No,No,no
7,6,7,7,"I have never felt like I was being taken advantage of while using this service, I would recommend TCGPlayer to anyone trying to get into or back into collecting/playing card games.",HomePage,1,11,64.04,No,No,no
4,6,6,4,"I feel like the first two questions are not applicable, I don't know what you promise specifically and haven't had any conversation with an employee that would contribute to the empathy and kindness being shown. But, I will say that this site is amazing and one of the best places to buy and sell TCG products.  It's also one of the best ways to find out what a products current value is, although it would be nice if the app and website could be more efficiently integrated with each other.  I wish I could see my collections from the app somewhere online and adding slabs and sealed products to inventory would also be nice.",Product,1,24,127.83,No,No,yes
7,7,7,7,I love tcg because I gets me good cards,Product,1,1,12.57,No,No,yes
4,5,6,5,"1. I have no proof neither against or for the first statement.
2. The service this site provides and product it sells meets my current standards.
3. As far as I know this site does consistently follow through on its promises.
4. Most information this site provides to me is only through e-mail or through the main page of the site, and if they made information such as sales or special promotions more openly available that would be a great improvement.",HomePage,2,18,37.99,Yes,No,no
5,4,5,6,"While I think TCGPlayer offers less value than it used to (higher minimums for packages, more expensive shipping, the new UI is worse than the old UI) overall the site still offers a good platform within its market.",HomePage,1,11,16.86,No,No,no
7,7,7,7,Live this site been on it for a long time thank you for all your hard work ,Search,2,35,82.42,No,Yes,yes
5,5,5,6,I feel that people the sell on here are always treated they are wrong when a dispute with a buyer ,Search,1,8,300.54,Yes,No,no
7,6,6,5,I have no issue with the website and the team that helps resolve issues. my only problem with the website is issues with certain sellers but for the most part issues are typically resolve with the sellers. ,Search,2,28,39.02,No,No,yes
4,4,3,3,the amount of times my friends have need refunds due to miss counted inventory is laughable. it has happened to me once out of 3 orders just because most of the time my friend group does one order all together.,HomePage,2,37,19,No,No,yes
6,4,6,6,"The site has been very supportive in the very few instances where something was over sold or there was a delivery issue. Very upfront about the issue and always coming up with at least a refund and usually a small credit. The compassion, sympathy, and understanding is refreshing. ",OrderComplete,2,52,94.69,No,No,yes
7,7,7,7,I’ve never had an issue on here and when an order hasn’t arrived my issues are resolved quickly ,Search,1,21,5.42,No,No,yes
